instruction,asm,bench_type,latency_type,min_cycles,avg_cycles,max_cycles,iterations,status
ADD,"add a0, a0, a0",latency,arithmetic,1,1,9,5000,0
ADDI,"addi a0, a0, 0",latency,arithmetic,1,1,9,5000,0
AMOADD_W,"amoadd.w a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOADD_W_AQ,"amoadd.w.aq a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOADD_W_AQ_RL,"amoadd.w.aqrl a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOADD_W_RL,"amoadd.w.rl a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOAND_W,"amoand.w a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOAND_W_AQ,"amoand.w.aq a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOAND_W_AQ_RL,"amoand.w.aqrl a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOAND_W_RL,"amoand.w.rl a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMAXU_W,"amomaxu.w a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMAXU_W_AQ,"amomaxu.w.aq a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMAXU_W_AQ_RL,"amomaxu.w.aqrl a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMAXU_W_RL,"amomaxu.w.rl a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMAX_W,"amomax.w a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMAX_W_AQ,"amomax.w.aq a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMAX_W_AQ_RL,"amomax.w.aqrl a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMAX_W_RL,"amomax.w.rl a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMINU_W,"amominu.w a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMINU_W_AQ,"amominu.w.aq a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMINU_W_AQ_RL,"amominu.w.aqrl a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMINU_W_RL,"amominu.w.rl a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMIN_W,"amomin.w a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMIN_W_AQ,"amomin.w.aq a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMIN_W_AQ_RL,"amomin.w.aqrl a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOMIN_W_RL,"amomin.w.rl a0, a0, (a0)",latency,atomic,6,6,14,5000,0
AMOOR_W,"amoor.w a0, a0, (a0)",latency,atomic,6,6,14,5000,0
